Ticker,Quantity,Buy_Price,Buy_Date
MUTHOOTFIN.NS,20,3636.0,2025-11-22
MANKIND.NS,20,2242.1,2025-11-22
COCHINSHIP.NS,20,1697.3,2025-11-22
ADANIENT.NS,10,2422.3,2025-11-22
NBCC.NS,50,112.61,2025-11-22
ASAHIINDIA.NS,100,983.35,2025-11-22
PREMIERENE.NS,100,989.2,2025-11-22
BIOCON.NS,10,396.85,2025-11-22
BHEL.NS,50,282.5,2025-11-22
NYKAA.NS,150,268.52,2025-11-22
GLENMARK.NS,20,1844.2,2025-11-22
MANAPPURAM.NS,250,277.1,2025-11-22
ERIS.NS,3,1666.0,2025-11-22
HBLENGINE.NS,50,885.7,2025-11-25
APARINDS.NS,25,8973.0,2025-11-25
EMCURE.NS,75,1372.7,2025-11-25
HYUNDAI.NS,50,2312.3,2025-11-25
